Question,what_type
새로운 사람들을 만났을 때 당신은 어떤 반응을 보이나요?,1
사람들과 함께 있을 때 어떤 기분이 드나요?,1
"혼자 있을 때와 다른 사람들과 함께 있을 때, 둘 중 어떤 상황을 더 선호하나요?",1
당신은 사람이 많이 모인 곳에서 어떻게 행동하나요?,1
혼자 시간을 보낼 때 주로 어떤 활동을 하나요?,1
보통 어떤 방식으로 휴식을 취하나요?,1
자신의 생일이나 특별한 날을 어떻게 보내고 싶은가?,1
당신은 모임에서 주로 어떤 역할을 하나요?,1
주말에 혼자 집에서 보내는 것과 친구들과 외출하는 것 중 어떤 것을 더 선호하나요?,1
친구랑 만나기로 했는데 갑자기 약속이 취소되었을 때 기분이 어떤가요?,1
조용한 분위기에서 먼저 나서는 편인가요?,1
오랜만에 친구를 만났을 때 당신은 어떻게 행동하나요?,1
발표를 하게되었을 때 먼저 나서는 편인가요?,1
많은 사람들 앞에서 주목을 받았을 때 기분이 어떤가요?,1
여러 사람과 대화하는 걸 즐기나요?,1
다른 사람과 이야기 할 때 말을 많이 하는 편인가요?,1
갑자기 당일 급하게 잡히는 약속이 반가운 편인가요?,1
팀이나 모임에서 당신의 역할은 주로 어떤 것인가요?,1
사과하면 떠오르는 것은 무엇인가요?,2
풍선을 보면 떠오르는 생각은 무엇인가요?,2
당신은 아무 생각도 안하고 1분동안 가만히 있을 수 있나요?,2
시험이 다가오는데 공부가 손에 안잡히는 당신 무슨 생각을 하고 있나요?,2
새롭고 혁신적인 방법으로 문제를 해결하려고 하나요?,2
사후세계에 대한 질문이 흥미롭다고 생각하는가?,2
어떤 학문에 좁고 깊게 탐구하는 것을 좋아하는가 넓고 얕게 탐구하는 것을 좋아하는가?,2
인생에서 가장 중요한 것은 무엇이라고 생각하나요?,2
죽음 후에 무엇이 있다고 생각하나요?,2
당신은 시나 상상력을 요구하는 소설을 잘 쓸 자신이 있나요?,2
당신은 버스에 앉아 창밖을 바라본다 무슨 생각을 하나요?,2
화려한 아이돌 무대를 바라보며 무슨 생각이 드나요?,2
연애초기에 당신이 많이 하는 생각은 무엇인가요?,2
미래의 가능성보다는 현재에 대해 생각하는 것을 좋아하나요?,2
평소에 얼마나 많은 상상력을 펼치나요?,2
감정에 잘 휘둘리는 편인가요?,3
친구가 차 사고가 나서 연락이 왔다 나의 대답은?,3
친구가 헤어져서 위로를 해달라고 연락이 왔을 때 나의 대답은?,3
시험에 떨어져 슬퍼하는 친구에게 나의 반응은?,3
취업에 계속 떨어져 힘들어하는 친구에게 나는 뭐라고 하나요?,3
타인의 감정이나 행동에 민감하게 반응하나요?,3
친구가 스트레스 받아서 맛있는거 먹자라고 했을때 나의 반응은?,3
친구가 나 배탈 난 것 같아라고 했을 때 나의 반응은?,3
일이나 프로젝트에서 사람들 사이의 조화를 중시하나요?,3
타인이 문제를 겪고 있을 때 해결책을 먼저 제시하는 편인가요 아니면 감정적인 지지를 제공하는 편인가요?,3
회사에서 상사에게 꾸중을 듣고 기죽은 친구에게 내가 하는 말은?,3
너랑은 같이 해외여행 못 가겠다라는 말을 들으면 나는 뭐라고 대답할까요?,3
네가 좋아할 것 같아서 인형을 사왔어라는 말과 함께 갑작스레 인형을 선물받는다면 나는 무슨 생각이 드나요?,3
나 어제 새벽 네시까지 과제했어라는 말을 들으면 나는 뭐라고 대답하나요?,3
우울해서 머리를 잘랐다는 친구에게 나의 반응은?,3
약속에 늦은 친구가 앞뒤 설명없이 사과만 한다면 당신의 기분은 어떠한가?,3
다른 사람의 감정이나 필요에 대해 깊이 공감하나요?,3
대학 과제와 같이 중요한 업무가 있을 때 어떻게 처리하는 편인가요?,4
여행을 가기 전 계획을 어떻게 짜는 편인가요?,4
하루 일과가 시작되기 전에 플래너를 짜는 것을 선호하나요?,4
당신은 즉흥적인 편인가요?,4
일정을 미리 계획하는 것을 선호하나요?,4
계획에 없던 일이 생기면 불편함을 느끼나요?,4
작업을 할 때 목록이나 체크리스트를 만드는 것을 선호하나요?,4
마감기한을 엄격하게 지키는 편인가요?,4
일상 생활에서 체계적인 질서를 중요하게 생각하나요?,4
장기적인 목표를 설정하고 그것을 따르기 위해 계획하는 것을 선호하나요?,4
미래를 위해 철저하게 준비하는 것이 중요하다고 생각하나요?,4
일이나 프로젝트를 시작하기 전에 자세한 계획을 세우나요?,4
규칙과 절차를 따르는 것을 중요하게 여기나요?,4
일정이나 계획이 변경되는 것에 대해 스트레스를 받나요?,4
일정표를 잘 작성하는 편인가요?,4
정리를 잘하는 편인가요?,4
휴식을 취하기 전 할 일을 먼저 하고 쉬는 편인가요?,4
일이 마음대로 안되면 어떤 생각이 드나요?,4
